6	30:22	53:26	223:0	224:10	391:0	403:0
6	31:22	54:26	224:0	225:10	392:0	404:0
6	32:22	55:26	225:0	226:10	393:0	405:0
6	33:22	56:26	226:0	227:10	394:0	406:0
6	34:22	57:26	216:11	227:0	395:0	407:0
6	21:19	103:18	210:27	228:0	396:0	408:0
6	22:19	104:18	211:27	229:0	397:0	409:0
6	23:19	105:18	212:27	230:0	398:0	410:0
6	12:20	106:18	213:27	231:0	399:0	411:0
6	13:20	107:18	214:27	232:0	400:0	412:0
6	14:20	96:19	215:27	233:0	401:0	413:0
6	15:20	97:19	204:28	234:0	402:0	414:0
6	16:20	98:19	205:28	235:0	403:0	415:0
6	17:20	99:19	206:28	236:0	404:0	416:0
6	18:20	100:19	207:28	237:0	405:0	417:0
6	19:20	101:19	208:28	238:0	406:0	418:0
6	20:20	102:19	209:28	239:0	407:0	419:0
6	42:14	51:14	134:25	151:22	432:0	444:0
6	43:14	52:14	135:25	152:22	433:0	445:0
6	44:14	53:14	136:25	153:22	434:0	446:0
6	45:14	54:14	137:25	154:22	435:0	447:0
6	46:14	55:14	138:25	155:22	436:0	448:0
6	47:14	56:14	139:25	144:23	437:0	449:0
6	36:15	57:14	140:25	145:23	438:0	450:0
6	37:15	58:14	141:25	146:23	439:0	451:0
6	38:15	59:14	142:25	147:23	440:0	452:0
6	39:15	48:15	143:25	148:23	441:0	453:0
6	40:15	49:15	132:26	149:23	442:0	454:0
6	41:15	50:15	133:26	150:23	443:0	455:0
6	0:0	3:13	36:15	144:4	468:0	480:0
6	1:0	4:13	37:15	145:4	469:0	481:0
6	2:0	5:13	38:15	146:4	470:0	482:0
6	3:0	6:13	39:15	147:4	471:0	483:0
6	4:0	7:13	40:15	148:4	472:0	484:0
6	5:0	8:13	41:15	149:4	473:0	485:0
6	6:0	9:13	42:15	150:4	474:0	486:0
6	7:0	10:13	43:15	151:4	475:0	487:0
6	8:0	11:13	44:15	152:4	476:0	488:0
6	0:14	9:0	45:15	153:4	477:0	489:0
6	1:14	10:0	46:15	154:4	478:0	490:0
6	2:14	11:0	47:15	155:4	479:0	491:0
6	12:14	24:0	53:8	112:15	492:0	504:0
6	13:14	25:0	54:8	113:15	493:0	505:0
6	14:14	26:0	55:8	114:15	494:0	506:0
6	15:14	27:0	56:8	115:15	495:0	507:0
6	16:14	28:0	57:8	116:15	496:0	508:0
6	17:14	29:0	58:8	117:15	497:0	509:0
6	18:14	30:0	59:8	118:15	498:0	510:0
6	19:14	31:0	48:9	119:15	499:0	511:0
6	20:14	32:0	49:9	108:16	500:0	512:0
6	21:14	33:0	50:9	109:16	501:0	513:0
6	22:14	34:0	51:9	110:16	502:0	514:0
6	23:14	35:0	52:9	111:16	503:0	515:0
7	37:18	44:20	52:9	84:0	177:3	252:0	264:0
7	38:18	45:20	53:9	85:0	178:3	253:0	265:0
7	39:18	46:20	54:9	86:0	179:3	254:0	266:0
7	40:18	47:20	55:9	87:0	168:4	255:0	267:0
