10	1:0	16:1	31:2	36:22	51:1	90:2	122:0	215:5	410:0	422:0
10	2:0	17:1	32:2	37:22	52:1	91:2	123:0	204:6	411:0	423:0
10	3:0	18:1	33:2	38:22	53:1	92:2	124:0	205:6	412:0	424:0
10	4:0	19:1	34:2	39:22	54:1	93:2	125:0	206:6	413:0	425:0
10	5:0	20:1	35:2	40:22	55:1	94:2	126:0	207:6	414:0	426:0
10	6:0	21:1	24:3	41:22	56:1	95:2	127:0	208:6	415:0	427:0
10	7:0	22:1	25:3	42:22	57:1	84:3	128:0	209:6	416:0	428:0
10	8:0	23:1	26:3	43:22	58:1	85:3	129:0	210:6	417:0	429:0
10	9:0	12:2	27:3	44:22	59:1	86:3	130:0	211:6	418:0	430:0
10	10:0	13:2	28:3	45:22	48:2	87:3	131:0	212:6	419:0	431:0
10	5:21	19:22	24:11	39:24	51:25	74:6	163:1	204:3	420:0	432:0
10	6:21	20:22	25:11	40:24	52:25	75:6	164:1	205:3	421:0	433:0
10	7:21	21:22	26:11	41:24	53:25	76:6	165:1	206:3	422:0	434:0
10	8:21	22:22	27:11	42:24	54:25	77:6	166:1	207:3	423:0	435:0
10	9:21	23:22	28:11	43:24	55:25	78:6	167:1	208:3	424:0	436:0
10	10:21	12:23	29:11	44:24	56:25	79:6	156:2	209:3	425:0	437:0
10	11:21	13:23	30:11	45:24	57:25	80:6	157:2	210:3	426:0	438:0
10	0:22	14:23	31:11	46:24	58:25	81:6	158:2	211:3	427:0	439:0
10	1:22	15:23	32:11	47:24	59:25	82:6	159:2	212:3	428:0	440:0
10	2:22	16:23	33:11	36:25	48:26	83:6	160:2	213:3	429:0	441:0
10	3:22	17:23	34:11	37:25	49:26	72:7	161:2	214:3	430:0	442:0
10	4:22	18:23	35:11	38:25	50:26	73:7	162:2	215:3	431:0	443:0
10	3:12	14:4	29:10	46:2	58:12	104:2	170:16	263:2	432:0	444:0
10	4:12	15:4	30:10	47:2	59:12	105:2	171:16	252:3	433:0	445:0
