5	2:1	35:2	100:14	469:0	481:0
5	3:1	24:3	101:14	470:0	482:0
5	4:1	25:3	102:14	471:0	483:0
5	5:1	26:3	103:14	472:0	484:0
5	6:1	27:3	104:14	473:0	485:0
5	7:1	28:3	105:14	474:0	486:0
5	8:1	29:3	106:14	475:0	487:0
5	9:1	30:3	107:14	476:0	488:0
5	10:1	31:3	96:15	477:0	489:0
5	11:1	32:3	97:15	478:0	490:0
5	0:2	33:3	98:15	479:0	491:0
5	5:17	35:9	134:22	480:0	492:0
5	6:17	24:10	135:22	481:0	493:0
5	7:17	25:10	136:22	482:0	494:0
5	8:17	26:10	137:22	483:0	495:0
5	9:17	27:10	138:22	484:0	496:0
5	10:17	28:10	139:22	485:0	497:0
5	11:17	29:10	140:22	486:0	498:0
5	0:18	30:10	141:22	487:0	499:0
5	1:18	31:10	142:22	488:0	500:0
5	2:18	32:10	143:22	489:0	501:0
5	3:18	33:10	132:23	490:0	502:0
5	4:18	34:10	133:23	491:0	503:0
5	18:21	30:10	83:9	492:0	504:0
5	19:21	31:10	72:10	493:0	505:0
5	20:21	32:10	73:10	494:0	506:0
5	21:21	33:10	74:10	495:0	507:0
5	22:21	34:10	75:10	496:0	508:0
5	23:21	35:10	76:10	497:0	509:0
5	12:22	24:11	77:10	498:0	510:0
5	13:22	25:11	78:10	499:0	511:0
5	14:22	26:11	79:10	500:0	512:0
5	15:22	27:11	80:10	501:0	513:0
5	16:22	28:11	81:10	502:0	514:0
5	17:22	29:11	82:10	503:0	515:0
5	22:5	29:19	143:4	504:0	516:0
5	23:5	30:19	132:5	505:0	517:0
5	12:6	31:19	133:5	506:0	518:0
5	13:6	32:19	134:5	507:0	519:0
5	14:6	33:19	135:5	508:0	520:0
5	15:6	34:19	136:5	509:0	521:0
5	16:6	35:19	137:5	510:0	522:0
5	17:6	24:20	138:5	511:0	523:0
5	18:6	25:20	139:5	512:0	524:0
5	19:6	26:20	140:5	513:0	525:0
5	20:6	27:20	141:5	514:0	526:0
5	21:6	28:20	142:5	515:0	527:0
5	0:5	25:0	127:7	516:0	528:0
5	1:5	26:0	128:7	517:0	529:0
5	2:5	27:0	129:7	518:0	530:0
5	3:5	28:0	130:7	519:0	531:0
5	4:5	29:0	131:7	520:0	532:0
5	5:5	30:0	120:8	521:0	533:0
5	6:5	31:0	121:8	522:0	534:0
5	7:5	32:0	122:8	523:0	535:0
5	8:5	33:0	123:8	524:0	536:0
5	9:5	34:0	124:8	525:0	537:0
5	10:5	35:0	125:8	526:0	538:0
5	11:5	24:1	126:8	527:0	539:0
