11	16:22	53:23	85:2	147:15	202:0	302:28	646:0	738:5	1022:21	1713:0	1725:0
11	31:21	66:19	122:1	173:0	204:7	298:10	498:0	767:6	1152:1	1541:0	1553:0
11	8:26	54:1	111:20	158:4	181:2	326:1	581:3	871:0	1039:0	1338:0	1350:0
11	28:3	70:2	87:9	145:18	190:0	285:17	639:3	860:1	1040:0	1448:0	1460:0
11	3:24	83:23	88:9	171:9	193:26	345:23	541:28	816:1	1187:8	2061:0	2073:0
11	32:25	67:0	122:5	135:0	211:21	425:0	618:22	939:0	1227:4	1863:0	1875:0
11	9:7	41:14	102:0	148:1	210:0	356:1	480:9	846:19	1180:0	1660:0	1672:0
11	7:23	75:23	92:8	175:8	197:25	337:23	545:27	820:0	1179:8	2053:0	2065:0
11	29:29	64:7	85:0	169:0	184:0	372:5	704:7	741:6	1164:4	1633:0	1645:0
11	31:17	93:6	130:19	154:13	201:14	302:16	687:3	975:10	1084:25	2136:0	2148:0
11	47:28	80:0	90:2	162:19	216:4	240:8	571:1	815:21	1092:3	1351:0	1363:0
11	9:18	69:3	122:20	148:4	227:25	331:10	590:8	900:27	1123:24	1761:0	1773:0
11	21:12	60:19	103:3	132:4	214:2	257:2	560:9	883:20	1191:29	1485:0	1497:0
11	33:3	70:11	111:20	152:16	197:4	247:12	437:7	880:0	1015:16	1909:0	1921:0
11	38:9	56:13	134:3	146:11	202:16	385:1	609:29	902:23	1284:5	1463:0	1475:0
11	15:12	53:27	105:9	148:15	220:1	295:2	715:15	886:27	1029:12	1681:0	1693:0
11	41:24	76:1	120:1	133:8	205:29	282:5	516:23	812:27	1114:25	1608:0	1620:0
11	19:4	45:19	129:10	162:3	206:21	254:15	687:10	966:27	1106:0	2040:0	2052:0
11	14:16	86:7	96:1	173:1	187:11	237:23	654:4	742:8	1011:5	1583:0	1595:0
11	16:9	82:21	109:0	136:3	212:23	303:6	479:26	925:0	1111:14	2088:0	2100:0
11	9:28	48:24	99:15	150:8	195:7	220:21	581:6	755:29	1080:5	1830:0	1842:0
11	41:28	74:0	84:2	156:19	222:3	246:7	565:1	809:21	1098:2	1345:0	1357:0
11	28:4	65:12	118:20	147:17	192:5	242:13	432:8	887:0	1010:17	1916:0	1928:0
11	1:12	49:16	140:4	175:22	188:0	375:0	507:0	872:2	1140:3	1311:0	1323:0
11	36:26	58:17	113:8	142:6	189:5	360:23	671:0	771:27	1230:1	1967:0	1979:0
11	40:20	54:11	123:22	156:1	191:8	320:11	657:19	953:18	1035:7	1679:0	1691:0
11	19:23	75:8	101:4	161:12	225:0	404:15	682:0	923:0	1125:29	1821:0	1833:0
11	15:5	41:20	125:11	158:4	214:21	262:15	695:10	962:28	1114:0	2048:0	2060:0
11	38:10	56:28	97:0	162:0	183:5	390:5	476:21	935:15	1213:0	2077:0	2089:0
11	37:11	82:2	143:1	176:22	215:9	314:20	707:6	994:29	1275:2	1804:0	1816:0
11	13:23	81:7	107:3	167:11	219:0	398:15	676:0	917:0	1119:29	1815:0	1827:0
11	42:2	62:26	117:8	179:14	199:22	431:4	497:1	769:5	1201:23	1729:0	1741:0
