8	10:18	18:58	73:102	144:29	237:45	257:104	373:0	376:0
8	11:18	19:58	74:102	145:29	238:45	255:105	374:0	377:0
8	13:107	26:108	82:28	167:119	240:74	269:18	375:0	378:0
8	14:107	24:109	83:28	165:0	241:74	267:19	376:0	379:0
8	12:108	25:109	81:29	166:0	242:74	268:19	377:0	380:0
8	17:10	18:39	38:73	92:26	186:23	233:62	378:0	381:0
8	15:11	19:39	36:74	90:27	187:23	231:63	379:0	382:0
8	16:11	20:39	37:74	91:27	188:23	232:63	380:0	383:0
8	13:46	20:48	63:61	106:62	143:108	234:39	381:0	384:0
8	14:46	18:49	64:61	107:62	141:109	235:39	382:0	385:0
8	12:47	19:49	65:61	105:63	142:109	236:39	383:0	386:0
8	0:18	27:40	178:46	215:62	228:102	265:38	384:0	387:0
8	1:18	28:40	179:46	213:63	229:102	266:38	385:0	388:0
8	2:18	29:40	177:47	214:63	230:102	264:39	386:0	389:0
8	1:89	14:62	95:31	137:87	232:99	238:44	387:0	390:0
8	2:89	12:63	93:32	135:88	233:99	239:44	388:0	391:0
8	0:90	13:63	94:32	136:88	231:100	237:45	389:0	392:0
8	4:19	18:84	44:43	192:61	235:103	264:61	390:0	393:0
8	5:19	19:84	42:44	193:61	236:103	265:61	391:0	394:0
8	3:20	20:84	43:44	194:61	234:104	266:61	392:0	395:0
8	10:56	36:91	80:109	150:49	227:36	239:47	393:0	396:0
8	11:56	37:91	78:110	151:49	225:37	237:48	394:0	397:0
8	9:57	38:91	79:110	152:49	226:37	238:48	395:0	398:0
8	5:9	27:100	129:13	175:78	231:96	267:50	396:0	399:0
8	3:10	28:100	130:13	176:78	232:96	268:50	397:0	400:0
8	4:10	29:100	131:13	174:79	233:96	269:50	398:0	401:0
8	11:35	17:59	112:91	143:19	237:48	250:78	399:0	402:0
8	9:36	15:60	113:91	141:20	238:48	251:78	400:0	403:0
8	10:36	16:60	111:92	142:20	239:48	249:79	401:0	404:0
8	5:16	22:113	70:41	212:2	235:44	267:69	402:0	405:0
8	3:17	23:113	71:41	210:3	236:44	268:69	403:0	406:0
8	4:17	21:114	69:42	211:3	234:45	269:69	404:0	407:0
8	11:119	14:18	25:5	120:33	217:108	254:23	405:0	408:0
8	9:0	12:19	26:5	121:33	218:108	252:24	406:0	409:0
8	10:0	13:19	24:6	122:33	216:109	253:24	407:0	410:0
