5	38:96	63:81	129:14	365:0	368:0
5	7:22	57:98	64:8	369:0	372:0
5	8:22	58:98	65:8	370:0	373:0
5	6:23	59:98	63:9	371:0	374:0
5	69:104	95:62	109:30	372:0	375:0
5	70:104	93:63	110:30	373:0	376:0
5	71:104	94:63	108:31	374:0	377:0
5	60:10	75:18	96:13	375:0	378:0
5	61:10	76:18	97:13	376:0	379:0
5	62:10	77:18	98:13	377:0	380:0
5	61:60	68:76	130:33	378:0	381:0
5	62:60	66:77	131:33	379:0	382:0
5	60:61	67:77	129:34	380:0	383:0
5	1:86	8:50	34:96	381:0	384:0
5	2:86	6:51	35:96	382:0	385:0
5	0:87	7:51	33:97	383:0	386:0
5	19:100	24:23	61:26	384:0	387:0
5	20:100	25:23	62:26	385:0	388:0
5	18:101	26:23	60:27	386:0	389:0
5	43:118	53:78	63:81	387:0	390:0
5	44:118	51:79	64:81	388:0	391:0
5	42:119	52:79	65:81	389:0	392:0
5	61:54	65:78	89:39	390:0	393:0
5	62:54	63:79	87:40	391:0	394:0
5	60:55	64:79	88:40	392:0	395:0
5	8:37	56:115	68:91	393:0	396:0
5	6:38	54:116	66:92	394:0	397:0
5	7:38	55:116	67:92	395:0	398:0
5	29:6	55:71	58:86	399:0	402:0
5	27:7	56:71	59:86	400:0	403:0
5	28:7	54:72	57:87	401:0	404:0
5	56:103	59:116	66:82	402:0	405:0
5	54:104	57:117	67:82	403:0	406:0
5	55:104	58:117	68:82	404:0	407:0
5	16:86	55:115	124:110	405:0	408:0
5	17:86	56:115	125:110	406:0	409:0
5	15:87	54:116	123:111	407:0	410:0
5	50:29	55:67	70:100	408:0	411:0
5	48:30	56:67	71:100	409:0	412:0
5	49:30	54:68	69:101	410:0	413:0
5	2:46	65:97	113:42	411:0	414:0
5	0:47	63:98	111:43	412:0	415:0
5	1:47	64:98	112:43	413:0	416:0
5	18:117	38:15	50:36	414:0	417:0
5	19:117	36:16	48:37	415:0	418:0
5	20:117	37:16	49:37	416:0	419:0
5	11:29	13:9	42:88	417:0	420:0
5	9:30	14:9	43:88	418:0	421:0
5	10:30	12:10	44:88	419:0	422:0
5	39:90	81:102	127:19	420:0	423:0
5	40:90	82:102	128:19	421:0	424:0
5	41:90	83:102	126:20	422:0	425:0
5	11:51	17:109	44:2	423:0	426:0
5	9:52	15:110	42:3	424:0	427:0
5	10:52	16:110	43:3	425:0	428:0
5	31:65	45:32	105:119	429:0	432:0
5	32:65	46:32	106:119	430:0	433:0
5	30:66	47:32	107:119	431:0	434:0
5	18:20	21:89	38:62	432:0	435:0
5	19:20	22:89	36:63	433:0	436:0
5	20:20	23:89	37:63	434:0	437:0
5	20:28	34:105	47:65	435:0	438:0
5	18:29	35:105	45:66	436:0	439:0
5	19:29	33:106	46:66	437:0	440:0
5	30:78	66:107	135:34	438:0	441:0
5	31:78	67:107	136:34	439:0	442:0
5	32:78	68:107	137:34	440:0	443:0
5	6:62	23:57	42:11	441:0	444:0
5	7:62	21:58	43:11	442:0	445:0
5	8:62	22:58	44:11	443:0	446:0
5	115:61	149:69	150:103	444:0	447:0
5	116:61	147:70	151:103	445:0	448:0
5	114:62	148:70	152:103	446:0	449:0
5	32:40	42:88	137:76	447:0	450:0
5	30:41	43:88	135:77	448:0	451:0
5	31:41	44:88	136:77	449:0	452:0
5	23:112	25:109	29:46	450:0	453:0
5	21:113	26:109	27:47	451:0	454:0
5	22:113	24:110	28:47	452:0	455:0
5	25:26	28:108	56:119	453:0	456:0
5	26:26	29:108	54:0	454:0	457:0
5	24:27	27:109	55:0	455:0	458:0
5	27:45	51:33	75:64	456:0	459:0
5	28:45	52:33	76:64	457:0	460:0
5	29:45	53:33	77:64	458:0	461:0
5	3:57	29:13	62:116	459:0	462:0
5	4:57	27:14	60:117	460:0	463:0
5	5:57	28:14	61:117	461:0	464:0
5	14:22	17:99	28:74	465:0	468:0
5	12:23	15:100	29:74	466:0	469:0
5	13:23	16:100	27:75	467:0	470:0
5	1:38	32:94	54:19	468:0	471:0
5	2:38	30:95	55:19	469:0	472:0
5	0:39	31:95	56:19	470:0	473:0
5	2:80	9:114	35:1	471:0	474:0
5	0:81	10:114	33:2	472:0	475:0
5	1:81	11:114	34:2	473:0	476:0
5	18:106	24:43	140:111	474:0	477:0
5	19:106	25:43	138:112	475:0	478:0
5	20:106	26:43	139:112	476:0	479:0
5	21:78	61:84	131:46	477:0	480:0
5	22:78	62:84	129:47	478:0	481:0
5	23:78	60:85	130:47	479:0	482:0
5	14:47	41:42	45:91	480:0	483:0
5	12:48	39:43	46:91	481:0	484:0
5	13:48	40:43	47:91	482:0	485:0
5	13:76	24:1	40:106	483:0	486:0
5	14:76	25:1	41:106	484:0	487:0
5	12:77	26:1	39:107	485:0	488:0
5	1:4	36:36	41:85	486:0	489:0
5	2:4	37:36	39:86	487:0	490:0
5	0:5	38:36	40:86	488:0	491:0
5	37:85	146:28	154:9	489:0	492:0
5	38:85	144:29	155:9	490:0	493:0
5	36:86	145:29	153:10	491:0	494:0
5	15:73	67:95	71:39	495:0	498:0
5	16:73	68:95	69:40	496:0	499:0
5	17:73	66:96	70:40	497:0	500:0
5	19:11	23:13	86:72	498:0	501:0
5	20:11	21:14	84:73	499:0	502:0
5	18:12	22:14	85:73	500:0	503:0
