10	8:49	17:32	34:50	46:79	72:34	157:103	235:7	283:48	442:0	445:0
10	9:14	14:59	37:39	42:68	146:82	216:53	236:69	293:57	521:0	524:0
10	16:99	28:48	33:76	56:42	70:96	149:38	234:95	308:103	380:0	383:0
10	10:9	19:115	32:77	59:66	100:20	169:66	211:107	230:21	446:0	449:0
10	4:19	24:88	34:74	38:24	76:67	161:0	228:29	296:112	489:0	492:0
10	2:39	12:88	26:18	47:10	178:100	220:49	231:60	253:81	392:0	395:0
10	8:99	18:93	36:80	56:68	108:54	185:65	204:88	248:11	346:0	349:0
10	1:30	10:67	27:106	52:0	57:102	84:34	194:44	277:3	476:0	479:0
10	13:50	19:80	37:0	48:117	83:113	152:56	255:74	295:31	413:0	416:0
10	6:111	22:51	38:43	39:10	54:90	169:78	192:72	262:39	352:0	355:0
10	0:15	16:56	26:20	46:55	81:101	142:66	233:118	291:108	348:0	351:0
10	11:77	17:117	35:7	53:80	77:84	129:96	204:32	254:6	505:0	508:0
10	1:79	13:118	27:22	42:38	97:116	143:22	228:47	304:60	398:0	401:0
10	2:62	6:50	39:50	45:69	57:17	63:113	131:71	218:4	334:0	337:0
10	8:63	20:46	25:88	44:108	54:60	78:105	154:15	222:35	477:0	480:0
10	3:8	26:62	30:118	49:34	140:76	234:53	258:5	299:71	342:0	345:0
10	10:4	13:47	31:38	36:23	53:86	69:95	157:62	199:108	366:0	369:0
10	6:50	15:33	35:50	47:79	73:34	158:103	236:7	284:48	443:0	446:0
10	1:63	25:9	28:13	46:84	88:64	128:16	208:55	230:36	516:0	519:0
10	0:30	9:67	29:105	51:0	59:101	86:33	193:44	276:3	475:0	478:0
10	11:13	13:59	36:39	44:67	145:82	218:52	235:69	292:57	520:0	523:0
10	6:99	15:66	18:30	40:96	98:113	161:88	227:49	279:94	318:0	321:0
10	12:58	17:57	33:45	42:80	164:27	203:71	247:42	263:116	429:0	432:0
10	5:35	21:46	41:71	52:77	74:61	127:48	197:55	246:72	421:0	424:0
10	3:28	22:85	24:86	36:26	86:29	144:8	237:118	282:5	322:0	325:0
10	8:68	9:64	28:83	44:13	134:55	227:26	249:66	296:86	447:0	450:0
10	7:25	15:13	23:13	48:94	111:39	228:91	265:80	309:102	357:0	360:0
10	4:3	13:16	32:118	46:10	59:90	185:112	224:3	268:105	436:0	439:0
10	12:50	18:80	36:0	50:116	82:113	151:56	257:73	294:31	412:0	415:0
10	9:40	16:83	40:1	53:47	60:68	148:15	245:9	297:6	399:0	402:0
10	3:86	23:84	27:52	41:82	83:15	162:112	226:94	289:19	388:0	391:0
10	6:100	19:93	37:80	54:69	109:54	183:66	205:88	246:12	347:0	350:0
10	0:79	12:118	29:21	44:37	96:116	142:22	230:46	303:60	397:0	400:0
10	1:46	25:90	43:98	53:75	64:67	139:87	151:91	215:85	356:0	359:0
10	11:90	14:94	27:74	50:31	159:103	223:98	234:102	261:21	456:0	459:0
10	8:25	16:23	36:116	49:7	117:78	164:64	212:69	231:59	338:0	341:0
10	9:91	12:95	28:74	48:32	160:103	224:98	235:102	262:21	457:0	460:0
10	1:30	19:29	25:6	44:103	56:101	158:61	267:13	303:14	507:0	510:0
10	4:108	18:61	34:18	50:68	88:58	193:68	219:119	240:88	369:0	372:0
10	6:76	29:79	31:76	53:9	90:0	146:57	256:33	287:116	432:0	435:0
10	5:19	13:89	26:32	43:66	57:67	70:36	191:67	279:59	424:0	427:0
10	1:84	19:104	22:18	52:91	175:107	208:36	226:9	260:91	440:0	443:0
10	9:21	15:42	30:45	41:20	88:50	114:77	238:2	271:4	468:0	471:0
10	8:90	21:15	27:107	42:59	136:12	219:16	243:31	268:37	418:0	421:0
10	6:79	13:33	32:18	36:74	129:89	197:32	225:12	266:9	405:0	408:0
10	4:8	24:63	31:118	50:34	138:77	235:53	259:5	297:72	343:0	346:0
10	9:78	15:118	33:8	51:81	75:85	130:96	205:32	252:7	506:0	509:0
10	14:58	16:58	35:45	44:80	163:28	202:72	246:43	262:117	431:0	434:0
10	7:111	23:51	36:44	40:10	55:90	170:78	193:72	263:39	353:0	356:0
10	0:60	20:25	32:49	52:60	132:103	239:77	261:54	310:16	331:0	334:0
10	9:9	18:115	31:77	58:66	99:20	168:66	210:107	229:21	445:0	448:0
10	1:4	11:101	24:37	41:75	56:3	122:52	266:66	287:6	373:0	376:0
10	5:66	16:22	36:51	46:83	121:23	165:118	250:71	273:29	512:0	515:0
10	8:99	17:66	20:30	39:97	97:114	160:89	226:50	281:94	320:0	323:0
10	6:64	18:47	26:88	42:109	55:60	79:105	155:15	223:35	478:0	481:0
10	13:1	25:93	31:53	48:101	95:63	110:1	249:25	276:30	383:0	386:0
10	7:76	21:80	28:52	56:112	104:58	124:30	238:90	297:104	428:0	431:0
10	4:35	23:45	40:71	51:77	73:61	126:48	196:55	248:71	420:0	423:0
10	2:30	20:29	26:6	42:104	54:102	156:62	268:13	304:14	508:0	511:0
10	1:39	14:87	25:18	46:10	177:100	219:49	233:59	252:81	391:0	394:0
10	7:91	19:62	32:119	43:108	105:38	147:95	187:23	242:76	325:0	328:0
10	10:93	17:32	36:51	45:76	189:87	241:0	267:45	311:36	385:0	388:0
10	3:11	20:9	33:84	52:76	68:1	123:58	218:71	228:109	459:0	462:0
10	11:6	16:57	23:11	42:35	108:13	177:89	238:12	302:26	463:0	466:0
10	2:45	26:89	44:97	51:75	65:66	140:86	152:90	213:85	354:0	357:0
10	13:6	22:65	32:52	56:45	67:54	119:107	215:35	244:35	317:0	320:0
10	14:49	20:79	38:119	49:116	81:113	150:56	256:73	296:30	411:0	414:0
10	7:99	16:66	19:30	41:96	96:114	159:89	225:50	280:94	319:0	322:0
10	2:63	26:9	29:13	47:84	89:64	126:17	209:55	228:37	517:0	520:0
10	4:11	18:10	34:84	53:76	66:2	124:58	216:72	229:109	460:0	463:0
10	1:92	20:111	28:81	44:20	59:109	116:53	199:71	265:11	339:0	342:0
10	8:110	21:51	37:43	41:9	56:89	168:78	194:71	261:39	351:0	354:0
10	15:99	27:48	35:75	55:42	69:96	148:38	236:94	307:103	379:0	382:0
10	6:69	10:64	29:83	42:14	132:56	225:27	250:66	294:87	448:0	451:0
10	11:8	20:114	30:77	57:66	101:19	170:65	212:106	228:21	444:0	447:0
10	5:27	21:85	26:85	38:25	85:29	146:7	239:117	284:4	321:0	324:0
10	0:93	19:112	27:82	43:21	58:110	115:54	198:72	264:12	341:0	344:0
10	4:19	12:89	25:32	42:66	59:66	69:36	190:67	281:58	423:0	426:0
10	11:41	24:66	37:30	47:98	96:106	106:59	137:87	202:86	361:0	364:0
10	9:114	21:105	32:119	51:112	63:81	154:115	232:50	306:86	515:0	518:0
10	6:26	17:13	22:14	50:94	113:39	230:91	264:81	311:102	359:0	362:0
10	7:103	14:68	29:52	49:88	54:93	101:110	190:106	270:5	502:0	505:0
10	5:108	19:61	35:18	48:69	89:58	194:68	220:119	241:88	370:0	373:0
10	11:40	15:84	39:2	52:48	62:68	147:16	244:10	299:6	401:0	404:0
10	9:42	25:66	38:30	45:99	97:106	107:59	135:88	203:86	362:0	365:0
10	2:17	14:31	41:103	49:48	84:13	137:59	204:77	228:80	450:0	453:0
10	1:15	17:56	24:21	47:55	82:101	143:66	231:119	292:108	349:0	352:0
10	4:95	15:7	22:80	48:16	57:115	78:106	134:40	207:21	393:0	396:0
10	10:41	26:65	36:30	46:98	98:105	105:59	136:87	201:86	360:0	363:0
10	5:45	9:107	31:89	49:33	104:59	171:2	226:31	304:119	481:0	484:0
10	1:60	18:26	30:50	53:60	133:103	237:78	262:54	311:16	332:0	335:0
10	4:73	17:79	40:94	45:94	102:119	175:74	232:3	278:55	408:0	411:0
10	11:4	14:47	32:38	37:23	51:87	70:95	158:62	200:108	367:0	370:0
10	5:73	15:80	41:94	46:94	103:119	176:74	233:3	276:56	409:0	412:0
10	10:81	24:56	29:43	35:93	117:80	184:14	226:50	275:64	329:0	332:0
10	9:5	12:48	30:39	38:23	52:87	71:95	156:63	198:109	368:0	371:0
10	2:78	14:117	28:21	43:37	98:115	141:22	229:46	305:59	396:0	399:0
10	6:76	23:79	27:52	55:112	103:58	123:30	237:90	299:103	427:0	430:0
10	11:93	15:33	37:51	46:76	190:87	242:0	268:45	309:37	386:0	389:0
10	7:49	16:32	33:50	45:79	74:33	156:103	234:7	282:48	441:0	444:0
10	5:3	14:16	30:119	47:10	57:91	183:113	222:4	269:105	437:0	440:0
10	9:7	17:57	21:12	43:35	109:13	178:89	239:12	300:27	464:0	467:0
10	0:46	24:90	42:98	52:75	63:67	138:87	150:91	214:85	355:0	358:0
10	2:15	15:57	25:21	45:56	83:101	141:67	232:119	293:108	350:0	353:0
10	7:79	14:33	30:19	37:74	130:89	195:33	226:12	264:10	406:0	409:0
10	4:56	20:56	21:111	48:24	166:84	203:53	236:107	253:79	471:0	474:0
10	5:85	22:84	29:51	40:82	82:15	164:111	225:94	288:19	387:0	390:0
10	8:42	12:64	28:97	52:13	167:21	241:28	260:98	293:32	493:0	496:0
10	7:76	27:80	32:76	51:10	91:0	144:58	257:33	285:117	433:0	436:0
10	3:66	17:21	37:50	47:82	122:22	166:117	251:70	274:28	510:0	513:0
10	9:8	19:17	34:27	45:52	79:13	180:65	195:94	238:50	497:0	500:0
10	4:86	21:85	28:52	39:83	81:16	163:112	227:94	290:19	389:0	392:0
10	5:8	25:63	32:118	48:35	139:77	236:53	260:5	298:72	344:0	347:0
10	1:62	8:49	41:49	47:68	59:16	65:112	130:71	217:4	333:0	336:0
10	14:5	23:64	30:52	54:45	68:53	117:107	213:35	245:34	315:0	318:0
10	6:22	18:90	37:33	58:73	94:87	128:27	214:92	254:64	485:0	488:0
10	0:64	24:10	27:14	45:85	87:65	127:17	207:56	229:37	518:0	521:0
10	1:111	17:112	40:5	52:86	100:5	125:70	234:34	275:26	415:0	418:0
10	10:7	20:16	35:26	46:51	80:12	181:64	196:93	239:49	495:0	498:0
10	3:20	26:88	33:75	37:25	75:68	160:1	230:29	295:113	491:0	494:0
10	0:111	16:112	39:5	51:86	99:5	124:70	236:33	274:26	414:0	417:0
