16	5:109	17:51	19:89	24:111	48:89	56:62	76:19	137:70	155:6	229:118	250:5	283:93	344:24	353:17	481:0	484:0
16	1:31	4:20	16:6	27:43	36:100	50:14	58:23	117:63	138:38	197:92	255:40	275:13	335:107	365:91	423:0	426:0
16	3:11	10:49	18:33	35:64	43:35	52:14	77:70	109:54	187:5	236:13	248:49	278:51	317:54	375:65	493:0	496:0
16	11:60	24:61	30:87	40:60	47:74	53:17	64:53	165:31	171:28	205:45	231:75	257:103	336:8	384:59	474:0	477:0
16	5:10	9:49	20:32	34:64	42:35	51:14	76:70	108:54	186:5	235:13	247:49	277:51	316:54	377:64	492:0	495:0
16	3:13	8:72	29:38	36:71	45:18	89:24	199:35	207:8	225:91	230:113	252:6	281:70	338:85	367:102	490:0	493:0
16	11:85	13:43	22:12	27:3	46:26	59:2	64:68	158:48	185:26	236:69	266:97	303:28	328:108	351:8	403:0	406:0
16	14:99	15:4	23:28	31:87	50:48	60:4	97:87	155:85	190:61	217:33	232:82	234:60	306:19	368:25	414:0	417:0
16	1:48	16:44	18:54	26:63	40:11	54:38	66:100	139:12	183:63	239:96	244:97	299:18	301:98	388:83	487:0	490:0
16	0:119	13:77	19:95	21:45	38:7	51:89	59:31	91:37	137:103	215:37	223:39	245:9	338:72	394:112	460:0	463:0
16	5:94	12:87	23:38	36:45	50:106	130:108	133:43	171:43	219:93	225:118	234:7	258:9	350:20	387:28	436:0	439:0
16	1:98	4:71	20:27	29:19	43:26	156:40	189:10	227:22	230:74	244:102	269:10	291:82	345:98	386:59	500:0	503:0
16	0:14	9:100	18:111	34:74	51:33	106:73	159:92	207:55	233:47	237:16	267:7	282:43	321:47	349:116	422:0	425:0
16	3:116	13:95	27:8	33:12	37:19	53:26	84:60	150:89	183:4	225:59	261:10	270:117	326:74	370:33	478:0	481:0
16	2:38	7:87	25:23	31:17	40:93	109:118	158:67	195:105	219:54	230:103	238:71	263:94	331:114	355:24	457:0	460:0
16	6:0	14:84	23:86	32:36	45:24	51:115	88:10	140:26	181:1	233:113	249:91	296:101	312:116	357:69	497:0	500:0
16	5:40	13:81	17:60	29:113	49:70	59:113	93:25	186:12	205:74	232:16	241:9	289:17	330:66	362:56	431:0	434:0
16	11:72	16:27	26:12	33:6	42:46	58:66	89:8	101:103	161:76	169:101	236:98	291:7	339:71	371:33	455:0	458:0
16	7:97	10:18	23:61	34:92	37:41	112:25	123:11	167:21	230:68	239:40	249:49	297:51	308:118	361:113	449:0	452:0
16	3:57	17:103	28:85	41:13	44:60	56:100	111:64	159:70	192:7	232:110	253:104	286:17	314:26	395:58	405:0	408:0
16	8:96	11:17	21:61	35:91	38:40	113:24	124:10	165:21	228:68	237:40	250:48	298:50	306:118	362:112	447:0	450:0
16	1:17	14:14	26:69	27:51	46:46	131:34	147:11	175:40	229:46	239:78	240:85	278:34	318:76	363:48	462:0	465:0
16	0:79	16:50	25:58	32:22	39:35	56:109	81:61	117:40	207:35	236:91	266:41	271:26	319:34	360:99	503:0	506:0
16	7:103	13:112	22:3	24:6	49:117	84:59	146:93	194:17	211:73	228:93	235:97	267:67	317:116	391:76	472:0	475:0
16	9:86	14:43	23:12	28:3	47:26	57:3	65:68	156:49	183:27	234:70	264:98	304:28	329:108	352:8	404:0	407:0
16	1:114	19:49	25:119	34:50	51:116	62:19	74:78	114:56	192:55	226:50	239:106	280:47	328:53	374:106	428:0	431:0
16	10:61	26:61	32:87	39:61	46:75	52:18	63:54	167:31	173:28	204:46	233:75	256:104	338:8	386:59	476:0	479:0
16	4:12	8:41	28:27	36:0	47:7	58:36	60:100	99:18	141:25	171:21	238:36	316:88	342:61	380:69	504:0	507:0
16	9:61	25:61	31:87	41:60	45:75	51:18	65:53	166:31	172:28	206:45	232:75	255:104	337:8	385:59	475:0	478:0
16	13:100	17:4	22:29	30:88	49:49	62:4	96:88	154:86	189:62	216:34	231:83	236:60	308:19	367:26	416:0	419:0
16	2:54	6:40	19:84	28:95	40:119	47:85	82:34	134:86	188:80	213:105	228:48	239:49	333:26	370:96	412:0	415:0
