9	1:103	16:48	25:33	118:41	194:24	259:77	269:51	491:0	494:0
9	5:68	63:31	146:95	202:6	227:119	234:7	245:108	413:0	416:0
9	0:69	12:84	91:67	229:3	239:69	265:79	289:59	395:0	398:0
9	8:72	23:2	99:38	136:50	193:94	225:50	257:38	407:0	410:0
9	6:49	19:57	27:28	54:39	110:23	259:1	287:27	446:0	449:0
9	5:22	22:89	60:34	107:15	215:58	233:27	244:110	493:0	496:0
9	1:114	15:67	175:48	227:107	249:36	267:14	290:80	315:0	318:0
9	12:47	20:2	78:56	171:71	193:62	232:37	245:33	383:0	386:0
9	7:108	61:81	127:60	205:41	226:38	228:78	259:57	340:0	343:0
9	11:12	22:86	27:106	77:11	98:0	254:53	270:26	423:0	426:0
9	5:40	18:8	131:118	231:7	252:116	262:117	297:93	433:0	436:0
9	12:80	16:43	44:75	101:101	196:24	236:10	246:78	369:0	372:0
9	6:12	24:64	47:16	170:41	198:96	237:52	244:47	351:0	354:0
9	10:72	19:18	27:80	57:55	145:85	184:114	240:62	398:0	401:0
9	5:72	17:118	55:6	100:14	211:5	229:73	251:61	428:0	431:0
9	8:103	12:58	68:60	129:119	187:75	230:69	241:62	495:0	498:0
9	11:109	18:71	87:38	139:95	217:114	225:61	259:15	366:0	369:0
9	2:34	10:16	48:32	136:83	236:82	237:48	278:62	337:0	340:0
9	0:90	22:79	95:78	102:118	179:78	232:6	251:96	388:0	391:0
9	5:30	20:90	69:107	170:7	221:75	230:107	250:102	439:0	442:0
9	8:24	27:81	78:77	140:52	234:31	242:3	288:2	479:0	482:0
9	28:67	43:11	113:23	190:24	229:46	231:78	261:31	313:0	316:0
9	3:108	25:13	29:10	68:87	120:7	217:29	257:3	327:0	330:0
9	5:21	16:2	38:8	147:92	225:100	246:60	272:47	384:0	387:0
9	0:50	12:81	27:91	125:28	198:15	247:71	267:114	463:0	466:0
9	2:31	21:96	88:30	152:24	209:5	236:31	243:107	504:0	507:0
9	29:67	44:11	111:24	191:24	230:46	232:78	262:31	314:0	317:0
9	6:78	20:110	76:114	117:27	239:69	245:119	291:28	320:0	323:0
9	11:95	23:111	78:21	167:65	229:63	248:1	285:51	325:0	328:0
9	12:10	27:84	88:7	132:63	238:38	252:41	281:81	455:0	458:0
9	5:43	28:60	51:93	168:16	236:51	266:67	274:87	402:0	405:0
9	0:115	17:67	174:49	226:108	251:36	269:14	289:81	317:0	320:0
9	21:95	26:66	37:67	142:99	230:78	257:22	295:110	415:0	418:0
9	9:16	22:5	27:8	90:55	149:111	195:36	243:96	436:0	439:0
9	3:93	13:104	28:96	93:105	137:69	260:12	296:1	508:0	511:0
9	2:114	16:67	176:48	225:108	250:36	268:14	288:81	316:0	319:0
9	12:99	19:16	51:44	153:9	239:106	245:72	271:76	331:0	334:0
9	6:24	15:61	49:43	120:11	220:12	226:108	264:51	306:0	309:0
9	7:108	24:20	93:53	116:18	174:43	236:69	255:37	429:0	432:0
9	11:49	16:16	34:43	154:111	232:75	252:48	296:38	482:0	485:0
9	2:102	17:47	26:32	119:40	192:24	260:76	267:51	489:0	492:0
9	3:68	64:30	144:95	203:5	225:119	235:6	243:108	411:0	414:0
9	1:68	13:83	92:66	230:2	237:69	266:78	290:58	393:0	396:0
9	6:72	21:2	100:37	137:49	194:93	226:49	255:38	405:0	408:0
9	7:48	20:56	28:27	55:38	108:23	260:0	285:27	444:0	447:0
9	3:23	23:89	61:34	105:16	213:59	231:28	245:110	494:0	497:0
9	5:39	24:45	74:71	173:23	184:65	239:26	250:87	342:0	345:0
9	13:46	18:2	79:55	172:70	194:61	233:36	243:33	381:0	384:0
9	8:108	62:81	128:60	206:41	227:38	229:78	260:57	341:0	344:0
9	9:13	23:86	28:106	75:12	96:1	252:54	271:26	424:0	427:0
9	3:41	19:8	129:119	232:7	253:116	263:117	298:93	434:0	437:0
9	13:80	17:43	42:76	99:102	197:24	234:11	247:78	370:0	373:0
9	10:60	12:59	65:86	108:13	213:18	239:54	256:20	310:0	313:0
9	5:55	28:31	39:44	165:66	205:108	237:42	251:37	418:0	421:0
9	3:72	15:118	56:5	101:13	212:4	230:72	249:61	426:0	429:0
9	6:104	13:58	66:61	130:119	188:75	228:70	242:62	496:0	499:0
9	0:35	11:16	49:32	137:83	234:83	238:48	276:63	338:0	341:0
9	9:110	19:71	88:38	140:95	218:114	226:61	260:15	367:0	370:0
9	1:90	23:79	93:79	103:118	177:79	233:6	249:97	389:0	392:0
9	3:31	18:91	70:107	168:8	219:76	228:108	251:102	440:0	443:0
9	6:24	28:80	79:76	138:52	235:30	240:3	289:1	477:0	480:0
9	2:95	20:27	178:98	203:53	230:6	242:30	269:8	303:0	306:0
9	4:108	26:13	27:11	66:88	121:7	218:29	255:4	328:0	331:0
9	3:22	17:2	36:9	148:92	226:100	247:60	270:48	385:0	388:0
9	1:50	13:81	28:91	123:29	199:15	248:71	268:114	464:0	467:0
9	0:32	22:96	89:30	150:25	207:6	234:32	244:107	505:0	508:0
9	4:110	24:107	59:47	133:47	224:19	232:7	260:113	323:0	326:0
9	3:40	25:45	72:72	171:24	185:65	237:27	251:87	343:0	346:0
9	9:60	14:58	64:86	110:12	215:17	238:54	255:20	309:0	312:0
9	10:16	23:5	28:8	91:55	147:112	196:36	244:96	437:0	440:0
9	0:47	13:62	27:21	82:119	156:60	241:67	299:67	486:0	489:0
9	3:44	29:60	52:93	169:16	234:52	264:68	275:87	403:0	406:0
9	22:95	24:67	38:67	143:99	228:79	255:23	296:110	416:0	419:0
9	7:24	16:61	50:43	121:11	221:12	227:108	265:51	307:0	310:0
9	13:9	28:83	89:6	133:62	239:37	253:40	279:81	453:0	456:0
9	4:93	14:104	29:96	94:105	135:70	258:13	294:2	509:0	512:0
9	1:96	19:28	177:99	202:54	229:7	241:31	268:9	305:0	308:0
9	0:96	18:28	179:98	201:54	228:7	240:31	267:9	304:0	307:0
9	3:110	26:106	58:47	132:47	223:19	231:7	259:113	322:0	325:0
9	8:108	25:20	94:53	114:19	175:43	234:70	256:37	430:0	433:0
9	9:49	17:15	35:42	155:110	233:74	253:47	294:38	480:0	483:0
9	0:103	15:48	24:33	117:41	193:24	258:77	268:51	490:0	493:0
9	4:55	27:31	41:43	167:65	204:108	239:41	250:37	417:0	420:0
9	2:68	14:83	90:67	228:3	238:69	264:79	288:59	394:0	397:0
9	7:72	22:2	101:37	135:50	192:94	227:49	256:38	406:0	409:0
9	8:48	18:57	29:27	56:38	109:23	258:1	286:27	445:0	448:0
9	4:22	21:89	62:33	106:15	214:58	232:27	243:110	492:0	495:0
9	27:67	42:11	112:23	189:24	228:46	233:77	263:30	312:0	315:0
9	14:46	19:2	80:55	173:70	192:62	231:37	244:33	382:0	385:0
9	6:108	60:81	126:60	204:41	225:38	230:77	258:57	339:0	342:0
9	10:13	21:87	29:106	76:12	97:1	253:54	272:26	425:0	428:0
9	4:40	20:7	130:118	233:6	254:115	261:117	299:92	432:0	435:0
9	14:80	15:44	43:76	100:102	195:25	235:11	248:78	371:0	374:0
9	8:24	17:61	48:44	122:11	219:13	225:109	266:51	308:0	311:0
9	3:56	29:31	40:44	166:66	206:108	238:42	249:38	419:0	422:0
9	4:72	16:118	54:6	99:14	210:5	228:73	250:61	427:0	430:0
9	7:104	14:58	67:61	131:119	186:76	229:70	240:63	497:0	500:0
9	1:34	9:16	50:31	135:83	235:82	239:47	277:62	336:0	339:0
9	10:110	20:71	89:38	138:96	216:115	227:61	258:16	368:0	371:0
9	11:60	13:59	63:87	109:13	214:18	237:55	257:20	311:0	314:0
9	4:30	19:90	71:106	169:7	220:75	229:107	249:102	438:0	441:0
9	2:47	12:63	29:21	81:0	158:60	240:68	298:68	488:0	491:0
9	5:108	24:14	28:11	67:88	122:7	216:30	256:4	329:0	332:0
9	14:114	23:4	31:55	126:41	201:118	233:103	237:8	365:0	368:0
9	4:22	15:3	37:9	149:92	227:100	248:60	271:48	386:0	389:0
9	7:24	29:80	80:76	139:52	236:30	241:3	290:1	478:0	481:0
