10	21:1	40:1	58:4	95:0	113:2	205:4	247:8	481:1	1000:0	1024:0
10	22:0	37:1	52:2	93:11	108:1	171:2	263:0	428:3	839:0	863:0
10	10:1	24:1	55:3	85:14	117:0	169:6	368:10	568:13	736:0	760:0
10	12:7	26:6	56:7	75:11	116:0	141:0	276:1	439:2	908:0	932:0
10	11:14	33:6	65:9	88:8	119:14	154:0	354:11	431:11	799:0	823:0
10	15:11	38:4	70:0	73:6	109:5	218:1	243:5	528:12	956:0	980:0
10	20:11	47:0	50:5	87:2	100:14	220:10	383:9	500:0	667:0	691:0
10	16:11	39:4	71:0	74:6	110:5	219:1	244:5	529:12	957:0	981:0
10	5:4	33:4	56:2	95:3	118:12	125:7	298:11	569:0	780:0	804:0
10	18:6	32:5	62:6	81:10	98:0	123:0	282:0	445:1	890:0	914:0
10	14:1	28:1	59:3	89:14	97:1	173:6	372:10	572:13	740:0	764:0
10	21:11	24:1	51:5	88:2	101:14	221:10	360:10	501:0	668:0	692:0
10	16:6	39:2	66:5	95:1	119:6	213:1	351:8	504:2	877:0	901:0
10	20:6	43:2	70:5	75:2	99:7	193:2	355:8	508:2	881:0	905:0
10	22:14	32:4	49:5	72:9	116:13	176:9	298:5	544:5	712:0	736:0
10	6:1	25:1	67:3	80:0	98:2	214:3	256:7	490:0	985:0	1009:0
10	15:11	29:12	58:6	73:13	109:13	144:4	329:1	418:2	862:0	886:0
10	16:0	31:1	70:1	87:11	102:1	189:1	257:0	422:3	833:0	857:0
10	22:3	26:4	49:2	88:3	111:12	142:6	291:11	562:0	773:0	797:0
10	7:1	45:0	52:3	82:14	114:0	190:5	365:10	565:13	733:0	757:0
10	8:1	46:0	53:3	83:14	115:0	191:5	366:10	566:13	734:0	758:0
10	19:6	42:2	69:5	74:2	98:7	192:2	354:8	507:2	880:0	904:0
10	3:11	26:4	58:0	85:5	97:5	230:0	255:4	540:11	944:0	968:0
10	14:11	41:0	68:4	81:2	118:13	238:9	377:9	494:0	661:0	685:0
10	0:7	47:2	50:6	79:2	103:7	197:2	359:8	512:2	885:0	909:0
10	9:4	37:4	60:2	75:4	98:13	129:7	302:11	573:0	784:0	808:0
10	21:13	36:11	58:3	86:1	113:13	239:2	272:4	467:1	625:0	649:0
10	2:0	41:0	56:1	73:11	112:0	175:1	243:0	408:3	819:0	843:0
10	4:4	32:4	55:2	94:3	117:12	124:7	297:11	568:0	779:0	803:0
