10	0:4	11:3	21:11	26:1	36:6	64:12	82:23	164:1	331:0	339:0
10	1:4	12:3	22:11	27:1	37:6	65:12	83:23	165:1	332:0	340:0
10	2:4	13:3	23:11	28:1	38:6	66:12	84:23	166:1	333:0	341:0
10	3:4	14:3	16:12	29:1	39:6	67:12	85:23	167:1	334:0	342:0
10	4:4	15:3	17:12	30:1	32:7	68:12	86:23	160:2	335:0	343:0
10	5:2	10:0	20:28	31:32	37:3	58:3	90:30	169:3	336:0	344:0
10	6:2	11:0	21:28	24:33	38:3	59:3	91:30	170:3	337:0	345:0
10	7:2	12:0	22:28	25:33	39:3	60:3	92:30	171:3	338:0	346:0
10	0:3	13:0	23:28	26:33	32:4	61:3	93:30	172:3	339:0	347:0
10	1:3	14:0	16:29	27:33	33:4	62:3	94:30	173:3	340:0	348:0
10	2:3	15:0	17:29	28:33	34:4	63:3	95:30	174:3	341:0	349:0
10	3:3	8:1	18:29	29:33	35:4	56:4	88:31	175:3	342:0	350:0
10	4:3	9:1	19:29	30:33	36:4	57:4	89:31	168:4	343:0	351:0
10	4:19	14:33	22:0	26:34	38:0	66:26	111:33	188:43	344:0	352:0
10	5:19	15:33	23:0	27:34	39:0	67:26	104:34	189:43	345:0	353:0
10	6:19	8:34	16:1	28:34	32:1	68:26	105:34	190:43	346:0	354:0
10	7:19	9:34	17:1	29:34	33:1	69:26	106:34	191:43	347:0	355:0
10	0:20	10:34	18:1	30:34	34:1	70:26	107:34	184:44	348:0	356:0
10	1:20	11:34	19:1	31:34	35:1	71:26	108:34	185:44	349:0	357:0
10	2:20	12:34	20:1	24:35	36:1	64:27	109:34	186:44	350:0	358:0
10	3:20	13:34	21:1	25:35	37:1	65:27	110:34	187:44	351:0	359:0
