5	1:21	23:14	74:5	276:0	284:0
5	6:35	22:40	57:6	221:0	229:0
5	11:17	20:8	28:38	167:0	175:0
5	2:10	10:15	42:19	144:0	152:0
5	12:42	19:8	41:3	291:0	299:0
5	0:16	8:20	39:39	310:0	318:0
5	7:15	15:19	38:39	309:0	317:0
5	4:7	17:0	83:11	344:0	352:0
5	3:38	16:20	78:28	142:0	150:0
5	6:19	9:2	29:11	182:0	190:0
5	10:36	20:17	59:1	188:0	196:0
5	14:16	23:7	31:37	162:0	170:0
5	8:36	19:10	65:7	168:0	176:0
5	7:27	21:24	48:1	100:0	355:0
5	0:12	11:37	33:0	193:0	201:0
5	15:9	18:33	41:13	110:0	118:0
5	1:16	9:20	32:40	311:0	319:0
5	3:21	17:15	76:5	278:0	286:0
5	13:16	22:7	30:37	161:0	169:0
5	4:9	10:11	80:4	158:0	166:0
5	7:15	14:2	26:7	128:0	136:0
5	8:33	20:16	53:15	334:0	342:0
5	6:37	19:19	73:28	137:0	145:0
5	2:21	16:15	75:5	277:0	285:0
5	5:9	11:11	81:4	159:0	167:0
5	1:9	15:10	85:3	155:0	163:0
5	0:14	22:28	66:37	103:0	111:0
5	14:42	21:8	43:3	293:0	301:0
5	3:1	13:37	57:12	229:0	237:0
5	7:11	10:37	32:0	192:0	200:0
5	6:13	20:28	64:37	101:0	109:0
5	4:10	12:15	44:19	146:0	154:0
5	15:32	19:16	52:15	333:0	341:0
5	0:36	16:41	59:6	223:0	231:0
5	5:19	8:2	28:11	181:0	189:0
5	9:2	17:20	42:19	297:0	305:0
5	2:19	13:1	25:11	178:0	186:0
5	3:16	10:3	30:7	132:0	140:0
5	7:8	18:31	49:7	232:0	240:0
5	12:9	23:29	89:8	342:0	350:0
5	4:16	11:3	31:7	133:0	141:0
5	0:21	22:14	73:5	275:0	283:0
5	9:42	16:8	46:2	288:0	296:0
5	1:37	17:44	78:15	263:0	271:0
5	6:35	15:5	66:31	123:0	131:0
5	3:16	10:1	28:16	209:0	217:0
5	5:27	19:24	54:0	98:0	353:0
5	2:36	11:6	70:31	127:0	135:0
5	14:2	22:20	47:19	302:0	310:0
5	12:2	20:20	45:19	300:0	308:0
5	8:2	16:20	41:19	296:0	304:0
5	15:36	18:11	64:8	175:0	183:0
5	7:36	23:43	76:15	261:0	269:0
5	3:35	19:40	62:5	218:0	226:0
5	2:12	13:37	35:0	195:0	203:0
5	1:36	10:6	69:31	126:0	134:0
5	11:43	22:38	93:5	242:0	250:0
5	5:23	9:20	36:13	281:0	289:0
5	4:36	20:43	73:15	258:0	266:0
5	15:8	18:29	92:7	337:0	345:0
5	6:10	14:15	46:19	148:0	156:0
5	2:26	16:15	91:33	321:0	329:0
5	1:17	8:2	26:17	215:0	223:0
5	7:35	23:40	58:6	222:0	230:0
5	5:15	13:19	36:39	307:0	315:0
5	10:9	21:32	44:12	105:0	113:0
5	9:9	20:29	94:7	339:0	347:0
