11	1:20	44:0	64:19	116:20	136:0	241:0	416:15	487:27	686:5	1056:0	1064:0
11	22:10	46:41	78:34	115:4	139:0	275:28	343:24	536:3	753:33	1288:0	1296:0
11	29:3	41:39	72:13	114:22	134:33	282:7	328:2	516:7	804:34	1152:0	1160:0
11	6:17	38:23	93:6	116:33	125:0	248:0	336:0	581:3	761:4	872:0	880:0
11	14:18	36:41	64:15	99:23	147:2	194:4	478:23	585:42	684:19	1124:0	1132:0
11	27:15	33:43	66:0	111:0	120:8	259:8	317:32	616:24	810:0	1386:0	1394:0
11	0:21	43:1	71:19	115:21	143:0	240:1	423:15	486:28	685:6	1063:0	1071:0
11	19:38	46:0	85:7	90:0	138:32	284:0	413:33	626:0	818:6	1242:0	1250:0
11	20:21	36:29	81:13	102:30	135:2	286:44	396:11	647:0	777:22	1400:0	1408:0
11	6:9	50:26	76:0	114:41	144:3	248:24	343:17	576:1	696:13	939:0	947:0
11	25:16	54:3	91:2	116:33	139:14	214:29	471:9	658:44	855:2	1200:0	1208:0
11	24:4	60:34	82:16	112:7	131:1	293:35	305:26	664:7	858:3	1319:0	1327:0
11	11:18	46:27	69:4	90:5	140:3	175:2	374:13	585:30	793:43	987:0	995:0
11	20:2	56:12	77:0	92:13	130:28	221:20	472:3	627:26	759:0	1013:0	1021:0
11	28:29	48:37	72:1	107:30	139:7	283:21	423:1	601:3	734:0	1148:0	1156:0
11	31:7	34:4	80:15	104:9	126:28	219:5	309:11	652:10	713:1	1423:0	1431:0
11	22:43	46:4	63:2	118:42	140:0	257:25	426:0	554:3	827:2	922:0	930:0
11	5:21	33:10	62:1	102:0	146:2	179:18	449:36	608:4	714:3	1270:0	1278:0
11	15:14	53:33	72:1	95:5	139:36	202:10	314:41	616:1	742:22	1399:0	1407:0
11	2:20	45:0	65:19	117:20	137:0	242:0	417:15	480:28	687:5	1057:0	1065:0
11	10:18	32:41	68:14	103:22	151:1	198:3	474:23	589:41	680:19	1120:0	1128:0
11	23:9	40:4	81:32	91:0	124:0	232:30	299:0	508:0	844:3	1323:0	1331:0
11	18:22	34:30	87:13	100:31	133:3	284:0	394:12	645:1	783:22	1406:0	1414:0
11	0:43	39:35	70:22	101:12	134:10	151:31	388:9	502:44	723:7	1221:0	1229:0
11	4:27	40:5	85:29	103:5	146:38	218:15	397:11	607:39	746:36	1172:0	1180:0
11	9:14	55:32	74:0	89:5	141:35	204:9	316:40	618:0	736:22	1393:0	1401:0
11	20:1	50:4	72:1	108:12	151:0	210:23	365:25	565:14	700:24	1183:0	1191:0
11	4:0	63:42	78:25	97:3	149:18	194:22	444:12	532:4	804:21	1189:0	1197:0
11	13:18	40:28	71:4	92:5	142:3	169:3	368:14	587:30	795:43	989:0	997:0
11	15:44	57:16	66:0	127:27	134:9	184:19	400:1	480:33	702:0	1298:0	1306:0
11	4:21	32:10	61:1	101:0	145:2	178:18	448:36	615:3	713:3	1269:0	1277:0
11	5:18	37:24	92:7	115:34	124:1	255:0	343:0	580:4	760:5	879:0	887:0
11	17:11	41:42	73:35	118:4	142:0	278:28	338:25	539:3	756:33	1291:0	1299:0
11	23:5	40:18	77:30	98:25	135:6	161:19	291:11	590:0	673:25	1275:0	1283:0
11	15:3	28:42	71:3	104:1	147:0	180:34	296:36	504:34	710:19	1131:0	1139:0
11	31:37	37:25	76:11	89:9	124:7	243:33	442:0	518:39	817:1	1306:0	1314:0
11	8:23	60:9	66:0	119:0	121:16	155:34	436:5	488:12	677:6	1049:0	1057:0
11	3:18	35:24	90:7	113:34	122:1	253:0	341:0	578:4	766:4	877:0	885:0
11	19:4	45:3	58:13	100:26	125:0	184:26	426:4	575:1	691:0	963:0	971:0
11	6:42	37:35	68:22	99:12	132:10	149:31	386:9	500:44	721:7	1219:0	1227:0
11	24:7	35:3	81:14	105:8	127:27	220:4	310:10	653:9	714:0	1416:0	1424:0
11	5:42	36:35	67:22	98:12	131:10	148:31	385:9	499:44	720:7	1218:0	1226:0
11	22:5	47:17	76:30	97:25	134:6	160:19	290:11	589:0	672:25	1274:0	1282:0
11	12:14	50:33	77:0	92:5	136:36	207:9	319:40	621:0	739:22	1396:0	1404:0
11	13:14	51:33	78:0	93:5	137:36	200:10	312:41	622:0	740:22	1397:0	1405:0
11	15:0	40:31	72:2	96:1	133:35	214:29	377:30	557:2	731:1	1358:0	1366:0
11	9:19	39:41	67:15	102:23	150:2	197:4	473:24	588:42	687:19	1127:0	1135:0
11	3:22	50:27	89:27	101:0	145:1	250:43	356:2	547:16	843:28	957:0	965:0
11	8:4	29:42	64:4	105:1	148:0	181:34	297:36	505:34	711:19	1132:0	1140:0
11	21:22	40:39	76:0	103:0	125:1	229:9	330:7	596:33	816:0	1232:0	1240:0
11	1:43	32:36	71:22	102:12	135:10	144:32	389:9	503:44	724:7	1222:0	1230:0
11	22:44	45:11	62:0	118:0	121:1	249:8	465:12	494:10	781:6	1094:0	1102:0
11	28:17	57:34	68:13	105:9	137:33	171:32	412:0	528:22	750:11	1019:0	1027:0
11	0:19	47:0	91:39	98:18	122:32	161:7	379:1	529:1	774:31	1199:0	1207:0
11	23:16	40:6	81:20	118:0	125:4	294:29	451:19	502:28	808:1	1164:0	1172:0
11	31:16	52:4	89:3	114:34	137:15	212:30	469:10	656:0	853:3	1206:0	1214:0
11	11:10	62:3	82:5	96:10	124:9	244:23	466:11	486:0	810:20	997:0	1005:0
11	12:32	33:34	57:2	103:21	130:0	202:41	426:0	490:7	686:30	1137:0	1145:0
11	5:5	50:38	67:0	127:10	137:11	274:12	420:29	621:35	711:38	930:0	938:0
11	10:33	39:34	63:2	101:22	128:1	200:42	424:1	488:8	684:31	1143:0	1151:0
11	11:7	25:30	85:16	110:5	138:32	170:23	463:15	646:41	742:0	1364:0	1372:0
11	7:27	43:5	80:30	98:6	149:38	221:15	392:12	602:40	749:36	1175:0	1183:0
11	1:40	35:2	76:30	107:6	122:3	223:1	386:5	576:1	688:1	895:0	903:0
11	2:17	28:3	70:16	118:2	148:4	152:1	310:33	526:18	837:7	1041:0	1049:0
11	12:32	38:1	72:5	106:25	132:2	235:44	359:6	613:1	790:5	1345:0	1353:0
11	19:16	44:5	85:19	114:0	121:4	290:29	455:18	498:28	812:0	1160:0	1168:0
11	18:23	45:39	73:1	100:1	122:2	226:10	335:7	593:34	821:0	1237:0	1245:0
11	2:0	61:42	76:25	103:2	147:18	192:22	442:12	530:4	802:21	1187:0	1195:0
11	22:9	47:3	80:32	90:0	123:0	239:29	298:0	507:0	843:3	1322:0	1330:0
11	26:7	37:3	83:14	107:8	121:28	222:4	304:11	655:9	716:0	1418:0	1426:0
11	28:3	56:34	86:15	116:6	135:0	289:35	309:25	668:6	862:2	1315:0	1323:0
11	24:29	52:36	76:0	111:29	143:6	287:20	419:1	605:2	730:0	1144:0	1152:0
11	1:27	45:4	82:29	100:5	151:37	223:14	394:11	604:39	751:35	1169:0	1177:0
11	20:23	47:39	75:1	102:1	124:2	228:10	329:8	595:34	823:0	1239:0	1247:0
11	5:39	39:1	72:30	111:5	126:2	219:1	390:4	580:0	692:0	891:0	899:0
11	9:0	59:16	68:0	121:28	128:10	186:19	402:1	482:33	696:1	1300:0	1308:0
11	10:4	31:42	66:4	107:1	150:0	183:34	299:36	507:34	705:20	1134:0	1142:0
11	7:17	39:23	94:6	117:33	126:0	249:0	337:0	582:3	762:4	873:0	881:0
11	12:7	26:30	86:16	111:5	139:32	171:23	456:16	647:41	743:0	1365:0	1373:0
11	14:34	54:11	64:6	104:18	148:0	271:22	453:0	614:0	744:44	1212:0	1220:0
11	10:1	33:1	77:10	108:17	150:11	246:22	395:13	551:1	717:0	1101:0	1109:0
11	26:3	62:33	84:15	114:6	133:0	295:34	307:25	666:6	860:2	1313:0	1321:0
11	16:39	43:1	82:8	95:0	143:32	281:1	410:34	631:0	823:6	1247:0	1255:0
11	23:34	55:0	80:7	106:15	131:19	264:21	361:42	556:7	709:4	982:0	990:0
11	30:3	42:39	73:13	115:22	135:33	283:7	329:2	517:7	805:34	1153:0	1161:0
11	0:27	44:4	81:29	99:5	150:37	222:14	393:11	603:39	750:35	1168:0	1176:0
11	6:35	50:35	59:13	114:13	132:38	224:35	364:41	551:0	790:12	1372:0	1380:0
